filename;ecocor_id
1913_Kellermann_Tunnel;eco_de_000053
1913_Loens_Mein-buntes-Buch;eco_de_0000104
1913_Scheerbart_Asteroiden-Roman;eco_de_000054
1914_Loens_Aus-Forst-und;eco_de_000098
1914_Loens_Jagdgeschichten;eco_de_0000101
1914_Niese_Der-verrueckte-Flinsheim;eco_de_0000167
1915_Klabund_Moreau;eco_de_0000122
1916_Harder_Schlumski;eco_de_0000158
1916_Kafka_Auf-der-Galerie;eco_de_000081
1916_Kafka_Der-Geier;eco_de_000082
1916_Kafka_Schakale-und-Araber;eco_de_000084
1916_Pappenheim_Im-Storchenland;eco_de_0000170
1917_Klabund_Mohammed;eco_de_0000121
1917_Sack_Ein-verbummelter-Student;eco_de_000092
1917_zu-Reventlow_Das-Logierhaus-Zur;eco_de_0000204
1917_zu-Reventlow_Das-polierte-Maennchen;eco_de_0000205
1917_zu-Reventlow_Der-Herr-Fischoetter;eco_de_0000206
1917_zu-Reventlow_Die-Silberwanze;eco_de_0000207
1918_Kafka_Prometheus;eco_de_000083
1918_Sonnleitner_Die-Hoehlenkinder-Im;eco_de_000068
1920_Ernst_Komoedianten-und-Spitzbubengeschichten;eco_de_0000137
1920_Kafka_Bericht;eco_de_000055
1920_Koenig_Schibes;eco_de_0000165
1920_Niese_Die-falschen-Weihnachtsbaeume;eco_de_0000168
1920_Sonnleitner_Die-Hoehlenkinder-Im;eco_de_000069
1921_Klabund_Franziskus;eco_de_0000119
1928_Klabund_Hieronymus;eco_de_0000120
1933_Kyber_Balduin-Brummsel-und;eco_de_0000129
Adalbert_Stifter_-_Der_beschriebene_Taennling_(1846);eco_de_000065
Adolf_Pichler_-_Ein_Brautpaar_(1867);eco_de_000066
Agnes_Guenther_-_Die_Heilige_und_ihr_Narr_-_Band_2_(1913);eco_de_000067
Alois_Theodor_Sonnleitner_-_Die_Hohlenkinder__Im_Heimlichen_Grund_(1918);eco_de_000068
Alois_Theodor_Sonnleitner_-_Die_Hohlenkinder__Im_Steinhaus_(1920);eco_de_000069
Anklam_Louise_Kindergeschichten_Der_wilde_Arno;eco_de_0000208
August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856);eco_de_000070
Bernhard_Marie_Heimatluft;eco_de_0000209
Berthold_Auerbach_-_Auf_der_Hoehe_Dritter_Band_(1865);eco_de_000071
Bindschedler_Ida_Die_Turnachkinder_im_Sommer;eco_de_0000210
Bindschedler_Ida_Die_Turnachkinder_im_Winter;eco_de_0000211
Boehlau_Helene_Altweimarische_Liebesgeschichten_Das_ehrbussliche_Weiblein;eco_de_0000212
Boehlau_Helene_Altweimarische_Liebesgeschichten_Im_alten_Roedchen;eco_de_0000213
Boehlau_Helene_Ein_Sommerbuch;eco_de_0000214
Buechner_Luise_Der_kleine_Vagabund;eco_de_0000215
Buechner_Luise_Die_Fee_von_Argouges;eco_de_0000216
