Autor*in;Titel;Referenzkorpus (Vorschlag);Jahr;Sprache;Genre;Wiki-Data ID Work;Wiki-Data ID Author;Referenz;Filename
Marie von Ebner-Eschenbach;Der Vorzugsschüler;;1898;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Der_Vorzugsschueler.txt
Marie von Ebner-Eschenbach;Die Freiherren von Gemperlein;;1889;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Die_Freiherren_von_Gemperlein.txt
Marie von Ebner-Eschenbach;Die Spitzin;;1901;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Die_Spitzin.txt
Marie von Ebner-Eschenbach;Ein Spätgeborner;;1875;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Ein_Spaetgeborner.txt
Marie von Ebner-Eschenbach;Krambambuli;;1883;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Krambambuli.txt
Marie von Ebner-Eschenbach;Maslans Frau;;1901;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Maslans_Frau.txt
Marie von Ebner-Eschenbach;Oversberg;;1892;Deutsch;;;;;von_Ebner-Eschenbach_Marie_Oversberg.txt
Nataly von Eschstruth;Hofluft;;1889;Deutsch;;;;;von_Eschstruth_Nataly_Hofluft.txt
Louise von François;Der Katzenjunker;;1879;Deutsch;;;;;von_Francois_Louise_Der_Katzenjunker.txt
Louise von François;Phosphorus Hollunder;;1881;Deutsch;;;;;von_Francois_Louise_Phosphorus_Hollunder.txt
Elisabeth von Heyking;Aus dem Land der Ostseeritter;;1903;Deutsch;;;;;von_Heyking_Elisabeth_Aus_dem_Land.txt
Elisabeth von Heyking;Das Geheimnis des Amerikaners;;1905;Deutsch;;;;;von_Heyking_Elisabeth_Das_Geheimnis_des_Amerikaners.txt
Elisabeth von Heyking;Über einen Hund und die Monroe-Doktrin;;1905;Deutsch;;;;;von_Heyking_Elisabeth_Ueber_einen_Hund.txt
Malwida von Meysenbug;Der Pfad der Äbtissin;;1907;Deutsch;;;;;von_Meysenbug_Malwida_Der_Pfad_der_Aebtissin.txt
Ottilie Wildermuth;Das Osterlied;;1900;Deutsch;;;;;Wildermuth_Ottilie_Die_alte_Freundin_Das_Osterlied.txt
Ottilie Wildermuth;Des Herrn Pfarrers Kuh;;1900;Deutsch;;;;;Wildermuth_Ottilie_Die_alte_Freundin_Des_Herrn_Pfarrers_Kuh.txt
Ottilie Wildermuth;Es ging ein Engel durch das Haus;;1900;Deutsch;;;;;Wildermuth_Ottilie_Die_alte_Freundin_Es_ging_ein_Engel_durch_das_Haus.txt
Sophie Wörishöffer;Das Naturforscherschiff;;1888;Deutsch;;;;;Woerishoeffer_Sophie_Das_Naturforscherschiff.txt
Sophie Wörishöffer;Gerettet aus Sibirien;;1885;Deutsch;;;;;Woerishoeffer_Sophie_Gerettet_aus_Sibirien.txt
Sophie Wörishöffer;Onnen Visser - Der Schmugglersohn von Norderney;;1885;Deutsch;;;;;Woerishoeffer_Sophie_Onnen_Visser.txt
Sophie Wörishöffer;Robert des Schiffsjungen Fahrten und Abenteuer auf der deutschen Handels- und Kriegsflotte;;1877;Deutsch;;;;;Woerishoeffer_Sophie_Robert_des_Schiffsjungen_Fahrten.txt
Franziska zu Reventlow;Das Logierhaus »Zur schwankenden Weltkugel«;;1917;Deutsch;;;;;zu_Reventlow_Franziska_Das_Logierhaus_Zur.txt
Franziska zu Reventlow;Das polierte Männchen;;1917;Deutsch;;;;;zu_Reventlow_Franziska_Das_polierte_Maennchen.txt
Franziska zu Reventlow;Der Herr Fischötter;;1917;Deutsch;;;;;zu_Reventlow_Franziska_Der_Herr_Fischoetter.txt
Franziska zu Reventlow;Die Silberwanze;;1917;Deutsch;;;;;zu_Reventlow_Franziska_Die_Silberwanze.txt
