Word,PoS,GermaNet_fields
Hengst,nomen,Tier
Gehölz,nomen,Pflanze
lichten,verben,natPhaenomen
platt,adj,natPhaenomen
erhitzen,verben,natPhaenomen
Illusion,nomen,natPhaenomen
Galle,nomen,Pflanze
Eule,nomen,Tier
zusammenziehen,verben,natPhaenomen
Stachel,nomen,Pflanze
Sonnenaufgang,nomen,natPhaenomen
Traube,nomen,Pflanze
Witterung,nomen,natPhaenomen
Raubtier,nomen,Tier
Morgensonne,nomen,natPhaenomen
Hoch,nomen,natPhaenomen
Wachs,nomen,natGegenstand
Spuk,nomen,natPhaenomen
klären,verben,natPhaenomen
Lichtschein,nomen,natPhaenomen
Brandung,nomen,natPhaenomen
Unwetter,nomen,natPhaenomen
Papagei,nomen,Tier
Pappel,nomen,Pflanze
Larve,nomen,Tier
Strudel,nomen,natPhaenomen
schwitzen,verben,natPhaenomen
Schweif,nomen,natPhaenomen
Wasserfall,nomen,natPhaenomen
Kamel,nomen,Tier
Widerschein,nomen,natPhaenomen
Kiefer,nomen,natGegenstand Pflanze
tropfen,verben,natPhaenomen
Felsblock,nomen,natGegenstand
Panther,nomen,Tier
Maultier,nomen,Tier
Tempo,nomen,natPhaenomen
Abendsonne,nomen,natPhaenomen
Falke,nomen,Tier
Tierchen,nomen,Tier
Windstoß,nomen,natPhaenomen
Unkraut,nomen,Pflanze
karg,adj,natPhaenomen
Planke,nomen,natGegenstand
Pudel,nomen,Tier
Schwärmer,nomen,Tier
Schutt,nomen,natGegenstand
Klima,nomen,natPhaenomen
bescheinen,verben,natPhaenomen
versteinern,verben,natPhaenomen
Luftzug,nomen,natPhaenomen
Storch,nomen,Tier
Obstbaum,nomen,Pflanze
Flechte,nomen,Pflanze
Rinde,nomen,Pflanze
Vollmond,nomen,natPhaenomen
Muschel,nomen,natGegenstand Tier
Beere,nomen,Pflanze
Körbchen,nomen,Pflanze
verfinstern,verben,natPhaenomen
buschig,adj,natPhaenomen
Gestrüpp,nomen,Pflanze
Reis,nomen,Pflanze
Geier,nomen,Tier
Same,nomen,Pflanze
Hagel,nomen,natPhaenomen
West,nomen,natPhaenomen
Gewächs,nomen,Pflanze
Kastanie,nomen,Pflanze
Ammer,nomen,Tier
Blättchen,nomen,Pflanze
Schläfer,nomen,Tier
herbstlich,adj,natPhaenomen
Stempel,nomen,Pflanze
glimmen,verben,natPhaenomen
fluten,verben,natPhaenomen
Antrieb,nomen,natPhaenomen
Buschwerk,nomen,Pflanze
frostig,adj,natPhaenomen
Halbdunkel,nomen,natPhaenomen
schneien,verben,natPhaenomen
Insekt,nomen,Tier
Juwel,nomen,natGegenstand
Kirsche,nomen,Pflanze
Rübe,nomen,Pflanze
Lorbeer,nomen,Pflanze
Admiral,nomen,Tier
Nelke,nomen,Pflanze
Stiel,nomen,Pflanze
Wölkchen,nomen,natPhaenomen
Laub,nomen,Pflanze
Amsel,nomen,Tier
Bohne,nomen,Pflanze
Goldschmied,nomen,Tier
Sperling,nomen,Tier
Fledermaus,nomen,Tier
Birne,nomen,Pflanze
Forelle,nomen,Tier
aufleuchten,verben,natPhaenomen
Getreide,nomen,Pflanze
Kröte,nomen,Tier
Sturmwind,nomen,natPhaenomen
Kauz,nomen,Tier
Gaukler,nomen,Tier
Erdreich,nomen,natGegenstand
Lichtstrahl,nomen,natPhaenomen
Krokodil,nomen,Tier
Funke,nomen,natPhaenomen
Lohe,nomen,natPhaenomen Pflanze
Granat,nomen,Tier
Morgengrauen,nomen,natPhaenomen
Delphin,nomen,Tier
Donnerschlag,nomen,natPhaenomen
